種別	配置名	項	名称	分類	寸法	比	prompt
主図版	companions	1	同胞団	I 職能結社	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A mead hall on a hilltop above a walled town; its roof is the hull of an upturned longship. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	companions-1	1	同胞団／コドラク・ホワイトメーン	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, broad, heavy build, facing the viewer squarely. This is the face of a person past sixty. bare-headed, long hair falling past the shoulders, wearing a fur mantle over the shoulders. Holding a closed book, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	companions-2	1	同胞団／ヴィルカス	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, turned a quarter to the left. This is the face of a person in their thirties. bare-headed, short cropped hair, wearing a mail shirt. a scar across one cheek. Holding a straight sword held upright before the chest, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	companions-3	1	同胞団／アエラ	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, slight build, turned in profile to the left. This is the face of a person in their thirties. bare-headed, a single heavy braid, wearing a studded leather jerkin. Holding a bow, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	thieves	2	盗賊ギルド	I 職能結社	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A stone stair descending into a city sewer; from the street side it reads as nothing but a drain. Night. The sky is worked up with dense hatching; the ground stays light. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	thieves-1	2	盗賊ギルド／ブリニョルフ	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, turned a quarter to the left. This is the face of a person in their fifties. bare-headed, long hair falling past the shoulders, wearing a studded leather jerkin. Aspect ratio 2:3 (portrait).
人物図版	thieves-2	2	盗賊ギルド／メルセル	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, facing the viewer squarely. This is the face of a person in their fifties. bare-headed, short cropped hair, wearing a studded leather jerkin. a scar across one cheek. Holding a large iron key, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	thieves-3	2	盗賊ギルド／ヴェックス	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, slight build, turned in profile to the left. This is the face of a person in their thirties. bare-headed, short cropped hair, wearing a studded leather jerkin. Aspect ratio 2:3 (portrait).
主図版	nightingale	3	ナイチンゲール	I 職能結社	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: Three standing stones set in a ring on open ground. Night. The sky is worked up with dense hatching; the ground stays light. No human figures at all. The absence is deliberate. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	nightingale-1	3	ナイチンゲール／カーリア	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, slight build, turned in profile to the left. This is the face of a person in their forties. a deep cloth hood, no visible hair, wearing a long travelling cloak. Holding a dagger, small, at the lower edge. Aspect ratio 2:3 (portrait).
